0	RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
0	RT @Jewelz2611 @mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
0	@mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
0	THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
4	Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is
0	@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
0	@apple needs to hurry up and release #iTunesMatch
0	Why is #Siri always down @apple
0	I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
0	@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time
0	good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
0	RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
0	Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
0	The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
4	@Apple will be adding more carrier support to the iPhone 4S (just announced)
4	Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY
0	Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer. Missed opportunity @apple
4	@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
4	I just realized that the reason I got into twitter was ios5 thanks @apple
4	I'm a current @Blackberry user little bit disappointed with it! Should I move to @Android or @Apple @iphone
0	@paulens It surprises me that @Apple throws up an error alert about authorizing and there's no &quot;Authorize this computer&quot; button.
0	@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
0	FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.
0	Oh @apple. Steve obviously had nothing to do with iPhoto as it's the perfect opposite of 'insanely great'. Get it fixed please.
0	OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
0	@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...
0	Seriously - I have absolutely no offing clue what @Apple means by &quot;authorization&quot; nor how to do it.
0	Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? &quot;You must authorize this computer…&quot;
0	shit shit shit. IOS5 update ate all my apps data and media just like @apple said it would. This is going to take some time to rebuild.
0	. @apple &amp; @AT&amp;T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!
0	Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
0	Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
0	I am so done with @Att and @apple 's profitering and lack of customer service so fucking down with both!!!
0	It would be great If @Apple would send my new phone. #frustrated
4	The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
4	Great up close &amp; personal event @Apple tonight in Regent St store!
