0,Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders,
0,@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling...,
0,Preparing to have a heart attack #tweetdebate,
0,no debate moderators under 50, sorry  #tweetdebate,
0,@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current,
0,Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate,
0,#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so,
0,Obama -2 it an occupation not war #tweetdebate,
0,@TDefren  I'm very nervous, yes #tweetdebate,
0,#tweetdebate no golden parachutes no padding CEOs - Obama,
0,Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate,
0,McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current,
0,@current current channel reception is continually sucking. Gotta love comcast,
0,McCain -3 for Kenndey comment #tweetdebate,
0,McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate,
0,#tweetdebate McCain starts awkwardly,
0,-1 McCain for stalling with faux sympathy #tweetdebate,
0,@andrewa121 I only get OTA HD with my EyeTV 500.,
0,McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current,
0,@current McCain looks so tired!! wayyyy past his bedtime #current,
0,dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate,
0,@andrewa121 He looks and sounds pretty tired.,
0,@current Or its the beginning of the end of the beginning of the end.. Sheesh.,
0,McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate,
0,McCain: this is the end of the beginning. huh? #tweetdebate,
0,McCain -2 gving credit to house republicans #tweetdebate,
0,-1 McCain all over the place in his answer #tweetdebate,
0,Nice, McLame divides...Republicans uniquely came to fix it. Um, ok. #tweetdebate,
0,if ur oldest candidate in history, why start with i'm not feeling great .. makes u thing you're not looking great either #tweetdebate,
0,Obama -1 for answering a different question #tweetdebate,
0,McCain -1 for bringing in Kennedy for emotional effect #tweetdebate,
0,#tweetdebate greed is how we got into this situation in the first place,
0,McCain -2 Are you gonna vote for the plan? - I hope so whatte fuck?! #tweetdebate,
0,McCain -1 for failing to meaningfully answer the question on economy #tweetdebate,
0,McCain -1 improper analogy #tweetdebate,
0,Obama -1 for not understanding economic regulation in America. #tweetdebate,
0,#tweetdebate -1 McCain we saw these problems coming I thought the economy was fundamentally sound,
0,Already tired of the Wall Street v Main Street analogies. #tweetdebate,
0,how annoying are these animations on #Current TV.. reverting to old fashion MSNBC.. #tweetdebate,
0,@current #current How can you say I hope so when you are asked the question of voting for something? You should know what yer view is!,
0,John, ten days ago you said the fundamentals of the economy were strong Hilarious #tweetdebate #current,
0,McCain -1 for wearing a tie that makes my eyes sore. #tweetdebate,
0,McCain -1 for a total non-answer #tweetdebate,
0,-1 McCain Contrary statements regarding the state of the economy #tweetdebate,
0,Funny if they looked at each other I think the talking points would disappear and they might even be constructive #tweetdebate,
0,Really tired of hearing the word mainstreet in the debate #tweetdebate,
0,Fundamentally, if McCain fundamentally uses fundamental one more time, I'm gonna go nuts. #tweetdebate,
0,McCain -2 Wrong Germany is the biggest exporter. Get your facts together! #tweetdebate,
0,#tweetdebate and when, just when are the questions going to be answered instead of campaigning talk?,
0,#tweetdebate -1 Mccain for not answering the question and saying the wall street   between the eyeblinking +hesitation he looks weird,
0,McCain is not answering the questions  #tweetdebate,
